"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BBS4TK4C","journalArticle","2018","Wischhusen, J.; Padilla, F.","Ultrasound Molecular Imaging with Targeted Microbubbles for Cancer Diagnostics: From Bench to Bedside","IRBM","","1959-0318","10.1016/J.IRBM.2018.10.007","https://www.sciencedirect.com/science/article/abs/pii/S1959031818301696","BACKGROUND Ultrasound plays an important role in cancer diagnosis. B-mode imaging and contrast-enhanced ultrasound are routinely used to detect cancerous lesions in breast and liver. The use of ultrasound contrast agents (UCAs) such as microbubbles (MBs), which can be functionalized with targeting ligands, has further enabled ultrasound molecular imaging (USMI) of specific molecular markers in pre-clinical and the first clinical studies. As targeted MBs have a diameter of 1–4 μm, they are limited to the blood vasculature upon intravenous injection, and can bind to markers of the vascular endothelium. USMI with targeted MBs was applied for imaging of markers of inflammation, angiogenesis, and the tumor endothelium. AIM The present review provides an introduction to USMI and presents currently available UCAs, targeting strategies, pre-clinical targets, proposed applications, and the first clinical studies with USMI to guide novel users and assess the technique's potential for clinical use.","2018-10","2021-02-23 04:20:44","2021-02-23T04:20:44Z","","","","","","","","","","","","","","","","","","","","","","Publisher: Elsevier Masson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAZ4DWV9","journalArticle","2014","Odéen, Henrik; de Bever, Joshua; Almquist, Scott; Farrer, Alexis; Todd, Nick; Payne, Allison; Snell, John W; Christensen, Douglas A; Parker, Dennis L","Treatment envelope evaluation in transcranial magnetic resonance-guided focused ultrasound utilizing 3D MR thermometry.","Journal of therapeutic ultrasound","","2050-5736","10.1186/2050-5736-2-19","http://www.ncbi.nlm.nih.gov/pubmed/25343028 http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=PMC4199783 http://www.jtultrasound.com/content/2/1/19","BACKGROUND: Current clinical targets for transcranial magnetic resonance-guided focused ultrasound (tcMRgFUS) are all located close to the geometric center of the skull convexity, which minimizes challenges related to focusing the ultrasound through the skull bone. Non-central targets will have to be reached to treat a wider variety of neurological disorders and solid tumors. Treatment envelope studies utilizing two-dimensional (2D) magnetic resonance (MR) thermometry have previously been performed to determine the regions in which therapeutic levels of FUS can currently be delivered. Since 2D MR thermometry was used, very limited information about unintended heating in near-field tissue/bone interfaces could be deduced. METHODS: In this paper, we present a proof-of-concept treatment envelope study with three-dimensional (3D) MR thermometry monitoring of FUS heatings performed in a phantom and a lamb model. While the moderate-sized transducer used was not designed for transcranial geometries, the 3D temperature maps enable monitoring of the entire sonication field of view, including both the focal spot and near-field tissue/bone interfaces, for full characterization of all heating that may occur. 3D MR thermometry is achieved by a combination of k-space subsampling and a previously described temporally constrained reconstruction method. RESULTS: We present two different types of treatment envelopes. The first is based only on the focal spot heating-the type that can be derived from 2D MR thermometry. The second type is based on the relative near-field heating and is calculated as the ratio between the focal spot heating and the near-field heating. This utilizes the full 3D MR thermometry data achieved in this study. CONCLUSIONS: It is shown that 3D MR thermometry can be used to improve the safety assessment in treatment envelope evaluations. Using a non-optimal transducer, it is shown that some regions where therapeutic levels of FUS can be delivered, as suggested by the first type of envelope, are not necessarily safely treated due to the amount of unintended near-field heating occurring. The results presented in this study highlight the need for 3D MR thermometry in tcMRgFUS.","2014-01","2021-02-23 03:19:53","2021-02-23T03:19:53Z","","19","","1","2","","","","","","","","","","en","","","","","","","Number: 1 Publisher: BioMed Central Ltd PMID: 25343028","","","","3-D MRI; Brain; MR thermometry; PRF; Treatment envelope; ablation; tcMRgFUS; thermometry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIB57E5N","book","2018","Dubernard, G.; Gelet, A.; Lafon, C.; Guillen, N.; Chavrier, F.; Chapelon, J.-Y. J-Y; Huissoud, C.; Philip, C-A C.-A.","Transrectal high-intensity focused ultrasound as focal therapy for posterior deep infiltrating endometriosis.","","","","","http://www.ncbi.nlm.nih.gov/pubmed/28436128 http://doi.wiley.com/10.1002/uog.17497","","2018-01","2021-02-23 03:19:22","2021-02-23T03:19:22Z","","","145–146","","51","","","","","1","","","","","eng","","","","","","","ISSN: 1469-0705 (Electronic) Publication Title: Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology DOI: 10.1002/uog.17497 PMID: 28436128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRMZW5K7","journalArticle","2016","Monteith, Stephen; Snell, John; Eames, Mathew; Kassell, Neal F.; Kelly, Edward; Gwinn, Ryder","Transcranial magnetic resonance-guided focused ultrasound for temporal lobe epilepsy: a laboratory feasibility study.","Journal of neurosurgery","","1933-0693","10.3171/2015.10.JNS1542","http://thejns.org/doi/10.3171/2015.10.JNS1542 https://thejns.org/view/journals/j-neurosurg/125/6/article-p1557.xml http://www.ncbi.nlm.nih.gov/pubmed/26871207","OBJECTIVE In appropriate candidates, the treatment of medication-refractory mesial temporal lobe epilepsy (MTLE) is primarily surgical. Traditional anterior temporal lobectomy yields seizure-free rates of 60%-70% and possibly higher. The field of magnetic resonance-guided focused ultrasound (MRgFUS) is an evolving field in neurosurgery. There is potential to treat MTLE with MRgFUS; however, it has appeared that the temporal lobe structures were beyond the existing treatment envelope of currently available clinical systems. The purpose of this study was to determine whether lesional temperatures can be achieved in the target tissue and to assess potential safety concerns. METHODS Cadaveric skulls with tissue-mimicking gels were used as phantom targets. An ablative volume was then mapped out for a ""virtual temporal lobectomy."" These data were then used to create a target volume on the InSightec ExAblate Neuro system. The target was the amygdala, uncus, anterior 20 mm of hippocampus, and adjacent parahippocampal gyrus. This volume was approximately 5cm3. Thermocouples were placed on critical skull base structures to monitor skull base heating. RESULTS Adequate focusing of the ultrasound energy was possible in the temporal lobe structures. Using clinically relevant ultrasound parameters (power 900 W, duration 10 sec, frequency 650 kHz), ablative temperatures were not achieved (maximum temperature 46.1°C). Increasing sonication duration to 30 sec demonstrated lesional temperatures in the mesial temporal lobe structures of interest (up to 60.5°C). Heating of the skull base of up to 24.7°C occurred with 30-sec sonications. CONCLUSIONS MRgFUS thermal ablation of the mesial temporal lobe structures relevant in temporal lobe epilepsy is feasible in a laboratory model. Longer sonications were required to achieve temperatures that would create permanent lesions in brain tissue. Heating of the skull base occurred with longer sonications. Blocking algorithms would be required to restrict ultrasound beams causing skull base heating. In the future, MRgFUS may present a minimally invasive, non-ionizing treatment of MTLE.","2016-12","2021-02-23 03:18:36","2021-02-23T03:18:36Z","","1557–1564","","6","125","","","","","","","","","","","","","","","","","Number: 6 PMID: 26871207","","","","MRgFUS; MRgFUS = magnetic resonance–guided focused ultraso; MTLE = mesial temporal lobe epilepsy; epilepsy; epilepsy treatment; focused ultrasound; magnetic resonance–guided focused ultrasound; temporal lobe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WTR4PKMH","journalArticle","2018","Wang, Tony R.; Bond, Aaron E.; Dallapiazza, Robert F.; Blanke, Aaron; Tilden, David; Huerta, Thomas E.; Moosa, Shayan; Prada, Francesco U.; Elias, W. Jeffrey","Transcranial magnetic resonance imaging-guided focused ultrasound thalamotomy for tremor: technical note.","Neurosurgical focus","","1092-0684 (ELECTRONIC)","10.3171/2017.10.FOCUS17609","http://www.ncbi.nlm.nih.gov/pubmed/29385914 https://thejns.org/view/journals/neurosurg-focus/44/2/article-pE3.xml","Although the use of focused ultrasound (FUS) in neurosurgery dates to the 1950s, its clinical utility was limited by the need for a craniotomy to create an acoustic window. Recent technological advances have enabled efficient transcranial delivery of US. Moreover, US is now coupled with MRI to ensure precise energy delivery and monitoring. Thus, MRI-guided transcranial FUS lesioning is now being investigated for myriad neurological and psychiatric disorders. Among the first transcranial FUS treatments is thalamotomy for the treatment of various tremors. The authors provide a technical overview of FUS thalamotomy for tremor as well as important lessons learned during their experience with this emerging technology.","2018-02","2021-02-23 03:18:32","2021-02-23T03:18:32Z","","E3","","2","44","","","","","","","","","","eng","","","","","","","Number: 2 PMID: 29385914","","","","AC-PC = anterior commissure–posterior commissure; ET = essential tremor; FUS; FUS = focused ultrasound; HIFU = high-intensity FUS; SDR = skull density ratio; Vim = ventral intermediate; focused ultrasound; technique; tremor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8THGHE2H","journalArticle","2013","Eames, Matthew Dc; Hananel, Arik; Snell, John W; Kassell, Neal F; Aubry, Jean-Francois","Trans-cranial focused ultrasound without hair shaving: feasibility study in an ex vivo cadaver model.","Journal of therapeutic ultrasound","","2050-5736 (PRINT)","10.1186/2050-5736-1-24","http://jtultrasound.biomedcentral.com/articles/10.1186/2050-5736-1-24 http://www.ncbi.nlm.nih.gov/pubmed/25512865 http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=PMC4265964","In preparing a patient for a trans-cranial magnetic resonance (MR)-guided focused ultrasound procedure, current practice is to shave the patient's head on treatment day. Here we present an initial attempt to evaluate the feasibility of trans-cranial focused ultrasound in an unshaved, ex vivo human head model. A human skull filled with tissue-mimicking phantom and covered with a wig made of human hair was sonicated using 220- and 710-kHz head transducers to evaluate the feasibility of acoustic energy transfer. Heating at the focal point was measured by MR proton resonance shift thermometry. Results showed that the hair had a negligible effect on focal spot thermal rise at 220 kHz and a 17% drop in temperature elevation when using 710 kHz.","2013","2021-02-23 03:17:52","2021-02-23T03:17:52Z","","24","","1","1","","","","","","","","","","eng","","","","","","","Number: 1 PMID: 25512865","","","","Brain; Hair; MR thermometry; tcMRgFUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDH55FMR","journalArticle","2013","Aubry, Jean-Francois; Pauly, Kim Butts; Moonen, Chrit; Haar, Gail Ter; Ries, Mario; Salomir, Rares; Sokka, Sham; Sekins, Kevin Michael; Shapira, Yerucham; Ye, Fangwei; Huff-Simonin, Heather; Eames, Matt; Hananel, Arik; Kassell, Neal; Napoli, Alessandro; Hwang, Joo Ha; Wu, Feng; Zhang, Lian; Melzer, Andreas; Kim, Young-Sun; Gedroyc, Wladyslaw M","The road to clinical use of high-intensity focused ultrasound for liver cancer: technical and clinical consensus.","Journal of therapeutic ultrasound","","2050-5736 (PRINT)","10.1186/2050-5736-1-13","","Clinical use of high-intensity focused ultrasound (HIFU) under ultrasound or MR guidance as a non-invasive method for treating tumors is rapidly increasing. Tens of thousands of patients have been treated for uterine fibroid, benign prostate hyperplasia, bone metastases, or prostate cancer. Despite the methods' clinical potential, the liver is a particularly challenging organ for HIFU treatment due to the combined effect of respiratory-induced liver motion, partial blocking by the rib cage, and high perfusion/flow. Several technical and clinical solutions have been developed by various groups during the past 15 years to compensate for these problems. A review of current unmet clinical needs is given here, as well as a consensus from a panel of experts about technical and clinical requirements for upcoming pilot and pivotal studies in order to accelerate the development and adoption of focused ultrasound for the treatment of primary and secondary liver cancer.","2013","2021-02-23 02:39:08","2021-02-23T02:39:08Z","","13","","","1","","","","","","","","","","eng","","","","","","","PMID: 25512859","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASXN3LFG","journalArticle","2019","Quah, Kristin; Poorman, Megan E; Allen, Steven P; Grissom, William A","Simultaneous multislice MRI thermometry with a single coil using incoherent blipped-controlled aliasing.","Magnetic resonance in medicine","","1522-2594 (ELECTRONIC)","10.1002/mrm.27940","","PURPOSE: To increase volume coverage in real-time MR thermometry for transcranial MR-guided focused ultrasound (tcMRgFUS) ablation, without multiple receive coils. THEORY AND METHODS: Multiband excitation and incoherent blipped-controlled aliasing were implemented in a 2DFT pulse sequence used clinically for tcMRgFUS, and an extended k-space hybrid reconstruction was developed that recovers slice-separated temperature maps assuming that heating is focal, given slice-separated pretreatment images. Simulations were performed to characterize slice leakage, the number of slices that can be simultaneously imaged with low-temperature error, and robustness across random slice-phase k-space permutations. In vivo experiments were performed using a single receive coil without heating to measure temperature precision, and gel phantom FUS experiments were performed to test the method with heating and with a water bath. RESULTS: Simulations showed that with large hot spots and identical magnitude images on each slice, up to three slices can be simultaneously imaged with less than 1 composite function C temperature root-mean-square error. They also showed that hot spots do not alias coherently between slices, and that an average 86% of random slice-phase k-space permutations yielded less than 1 composite function C temperature error. Temperature precision was not degraded compared to single-slice imaging in the in vivo SMS scans, and the gel phantom SMS temperature maps closely tracked single-slice temperature in the hot spot, with no coherent aliasing to other slices. CONCLUSIONS: Incoherent controlled aliasing SMS enables accurate reconstruction of focal heating maps from two or three slices simultaneously, using a single receive coil and a sparsity-promoting temperature reconstruction.","2019-08","2021-02-23 02:30:32","2021-02-23T02:30:32Z","","","","","","","","","","","","","","","eng","","","","","","","PMID: 31402493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXVUNBZK","journalArticle","2020","Grissom, William A; Allen, Steven","Reducing temperature errors in transcranial MR-guided focused ultrasound using a reduced-field-of-view sequence.","Magnetic resonance in medicine","","1522-2594 (ELECTRONIC)","10.1002/mrm.27987","","PURPOSE: To reduce temperature errors due to water motion in transcranial MR-guided focused ultrasound (tcMRgFUS) ablation. THEORY AND METHODS: In tcMRgFUS, water is circulated in the transducer bowl around the patient's head for acoustic coupling and heat removal. The water moves during sonications that are monitored by MR thermometry, which causes it to alias into the brain and create temperature errors. To reduce these errors, a two-dimensional excitation pulse was implemented in a gradient-recalled echo thermometry sequence. The pulse suppresses water signal by selectively exciting the brain only, which reduces the imaging FOV. Improvements in temperature precision compared to the conventional full-FOV scan were evaluated in healthy subject scans outside the tcMRgFUS system, gel phantom scans in the system with heating, and in 2x-accelerated head phantom scans in the system without heating. RESULTS: In vivo temperature precision (standard deviation of temperature errors) outside the tcMRgFUS system was improved 43% on average, due to the longer TR and TE of the reduced-FOV sequence. In the phantom heating experiments, the hot spot was less distorted in the reduced-FOV scans, and background temperature precision was improved 59% on average. In the accelerated head phantom temperature reconstructions, temperature precision was improved 89% using the reduced-FOV sequence. CONCLUSIONS: Reduced-FOV temperature imaging alleviates temperature errors due to water bath motion in tcMRgFUS, and enables accelerated temperature mapping with greater precision.","2020-03","2021-02-23 02:24:07","2021-02-23T02:24:07Z","","1016–1024","","3","83","","","","","","","","","","eng","","","","","","","Number: 3 PMID: 31483525","","","","MRI-guided focused ultrasound; high-intensity focused ultrasound; multidimensional excitation; radiofrequency pulses; selective excitation; temperature imaging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3YR3YAU","journalArticle","2013","Durst, Christopher; Monteith, Stephen; Sheehan, Jason; Moldovan, Krisztina; Snell, John; Eames, Matt; Huerta, Thomas; Walker, William; Viola, Francesco; Kassell, Neal; Wintermark, Max","Optimal imaging of in vitro clot sonothrombolysis by MR-guided focused ultrasound.","Journal of neuroimaging : official journal of the American Society of Neuroimaging","","1552-6569","10.1111/j.1552-6569.2011.00662.x","http://www.ncbi.nlm.nih.gov/pubmed/22082153 http://doi.wiley.com/10.1111/j.1552-6569.2011.00662.x","BACKGROUND AND PURPOSE As magnetic resonance-guided focused ultrasound (MRgFUS) sonothrombolysis relies on mechanical rather than thermal mechanisms to achieve clot lysis, thermometry is not useful for the intraoperative monitoring of clot breakdown by MRgFUS. Therefore, the purpose of this study was to evaluate the optimum imaging sequence for sonothrombolysis. METHODS In vitro blood drawn from 6 healthy volunteers was imaged using T1, T2 spin-echo, and T2 gradient-echo (GRE) sequences both before and after sonication using an Insightec ExAblate 4000 FUS transducer. Signal intensities of the three MR imaging sequences were measured and normalized to background signal for each time point. Representative samples of the pre- and postsonication clot were also sent to pathology for hematologic analysis. RESULTS After sonication, the clot in the treatment tube was fully lysed as evidenced by physical and hematologic evaluation. The difference between pre- and postsonicated normalized signal intensity ratios demonstrated statistical significance only on T2 and GRE sequences (P \textless .001). However, significant blooming artifact limited interpretation on all GRE images. CONCLUSION T2 is the most appropriate sequence for the evaluation of mechanical MRgFUS sonothrombolysis of an in vitro clot. These findings are consistent across the oxidative states of clot up to 48 hours.","2013-04","2021-02-23 02:17:47","2021-02-23T02:17:47Z","","187–91","","2","23","","","","","","","","","","","","","","","","","Number: 2 PMID: 22082153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
