"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IKD44WH3","journalArticle","2023","Ashar, Harshini; Singh, Akansha; Kishore, Deepan; Neel, Tina; More, Sunil; Liu, Chenang; Dugat, Danielle; Ranjan, Ashish","Enabling Chemo-Immunotherapy with HIFU in Canine Cancer Patients.","Annals of biomedical engineering","","1573-9686 0090-6964","10.1007/s10439-023-03194-1","","High intensity focused ultrasound (HIFU) is a promising non-invasive technique for treating solid tumors using thermal and histotripsy-based mechanical  ablation. However, its clinical significance in different tumor types is not  fully understood. To assess its therapeutic efficacy and immunomodulatory  properties, we compared HIFU thermal ablation and histotripsy ablation in dogs  with spontaneous tumors. We also evaluated the ability of non-ablative HIFU-based  mild hyperthermia (40-45 ºC) to improve Doxorubicin delivery and  immunomodulation. Our results showed that HIFU thermal ablation induced tumor  remission in the majority of treated patients over 60 days, while histotripsy  achieved partial response to stable disease persistence. The adverse effects of  thermal ablation were minor to moderate, while histotripsy exposures were  relatively well-tolerated. Furthermore, we observed a correlation between  HIFU-therapeutic response and serum anti-tumor cytokine profiles and the presence  of functionally active cytotoxic immune cells in patients. Similarly,  Doxorubicin-treated patients showed improved drug delivery, efficacy, and  anti-tumor immune responses with HIFU hyperthermia. In conclusion, our study  demonstrates that depending on the tumor type and treatment parameters, HIFU  treatments can enable tumor growth control, immune activation, and chemotherapy  in veterinary patient. These findings have significant clinical implications and  highlight the potential of HIFU as a promising cancer treatment approach.","2023-05-10","2024-03-18 17:30:28","2024-03-18T17:30:28Z","","","","","","","Ann Biomed Eng","","","","","","","","eng","© 2023. The Author(s) under exclusive licence to Biomedical Engineering Society.","","","","","","Place: United States PMID: 37162696","","","","Ablation; Drug delivery; HIFU; Hyperthermia; Immunomodulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QM7IZKUC","journalArticle","2024","Shehadeh, Malik; Wan, Elaine Y.; Biviano, Angelo; Mollazadeh, Reza; Garan, Hasan; Yarmohammadi, Hirad","Esophageal injury, perforation, and fistula formation following atrial fibrillation ablation.","Journal of interventional cardiac electrophysiology : an international journal of arrhythmias and pacing","","1572-8595 1383-875X","10.1007/s10840-023-01708-4","","BACKGROUND: Esophageal perforation and fistula formation are rare but serious complications following atrial fibrillation ablation. In this review article, we  outline the incidence, pathophysiology, predictors, and preventative strategies  of this dreaded complication. METHODS: We conducted an electronic search in 10  databases/electronic search engines to access relevant publications. All articles  reporting complications following atrial fibrillation ablation, including  esophageal injury and fistula formation, were included for systematic review.  RESULTS: A total of 130 manuscripts were identified for the final review process.  The overall incidence of esophageal injury following atrial fibrillation ablation  was significantly higher with thermal ablation modalities (radiofrequency 5-40%,  cryoballoon 3-25%, high-intensity focused ultrasound < 10%) as opposed to  non-thermal ablation modalities (no cases reported to date). The incidence of  esophageal perforation and fistula formation with the use of thermal ablation  modalities is estimated to occur in less than 0.25% of all atrial fibrillation  ablation procedures. The use of luminal esophageal temperature monitoring probe  and mechanical esophageal deviation showed protective effect toward reducing the  incidence of this complication. The prognosis is very poor for patients who  develop atrioesophageal fistula, and the condition is rapidly fatal without  surgical intervention. CONCLUSIONS: Esophageal perforation and fistula formation  following atrial fibrillation ablation are rare complications with poor  prognosis. Various strategies have been proposed to protect the esophagus and  reduce the incidence of this fearful complication. Pulsed field ablation is a  promising new ablation technology that may be the future answer toward reducing  the incidence of esophageal complications.","2024-03","2024-03-06 17:04:09","2024-03-06T17:04:09Z","","409-424","","2","67","","J Interv Card Electrophysiol","","","","","","","","eng","© 2023. The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","","","","","","Place: Netherlands PMID: 38038816","","","","*Atrial Fibrillation; *Catheter Ablation/adverse effects/methods; *Esophageal Fistula/epidemiology/etiology/surgery; *Esophageal Perforation/complications/surgery; Atrial fibrillation; Atrioesophageal fistula; Catheter ablation; Esophageal injury; Esophagopericardial fistula; Heart Atria/surgery; Humans; Prognosis; Radiofrequency ablation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S664G63J","journalArticle","2024","Liang, Jing; Qiao, Xiaohui; Qiu, Luping; Xu, Huning; Xiang, Huijing; Ding, Hong; Chen, Yu","Engineering Versatile Nanomedicines for Ultrasonic Tumor Immunotherapy.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)","","2198-3844","10.1002/advs.202305392","","Due to the specific advantages of ultrasound (US) in therapeutic disease treatments, the unique therapeutic US technology has emerged. In addition to  featuring a low-invasive targeted cancer-cell killing effect, the therapeutic US  technology has been demonstrated to modulate the tumor immune landscape, amplify  the therapeutic effect of other antitumor therapies, and induce  immunosensitization of tumors to immunotherapy, shedding new light on the cancer  treatment. Tremendous advances in nanotechnology are also expected to bring  unprecedented benefits to enhancing the antitumor efficiency and immunological  effects of therapeutic US, as well as therapeutic US-derived bimodal and  multimodal synergistic therapies. This comprehensive review summarizes the  immunological effects induced by different therapeutic US technologies, including  ultrasound-mediated micro-/nanobubble destruction (UTMD/UTND), sonodynamic  therapy (SDT), and focused ultrasound (FUS), as well as the main underlying  mechanisms involved. It is also discussed that the recent research progress of  engineering intelligent nanoplatform in improving the antitumor efficiency of  therapeutic US technologies. Finally, focusing on clinical translation, the key  issues and challenges currently faced are summarized, and the prospects for  promoting the clinical translation of these emerging nanomaterials and ultrasonic  immunotherapy in the future are proposed.","2024-01","2024-03-06 17:04:08","2024-03-06T17:04:08Z","","e2305392","","3","11","","Adv Sci (Weinh)","","","","","","","","eng","© 2023 The Authors. Advanced Science published by Wiley-VCH GmbH.","","","","","","Place: Germany PMID: 38041509  PMCID: PMC10797440","","","","*Neoplasms/drug therapy; *Ultrasonic Therapy; Humans; Immunotherapy; Nanomedicine; Ultrasonics; immunotherapy; nanomedicine; sonodynamic therapy; tumor therapy; ultrasound technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZ2TJLV2","journalArticle","2023","Jing, Bowen; Strassle Rojas, Stephan; Lindsey, Brooks D.","Effect of skull porosity on ultrasound transmission and wave mode conversion at large incidence angles.","Medical physics","","2473-4209 0094-2405","10.1002/mp.16318","","BACKGROUND: Transcranial ultrasound imaging and therapy depend on the efficient transmission of acoustic energy through the skull. Multiple previous studies have  concluded that a large incidence angle should be avoided during  transcranial-focused ultrasound therapy to ensure transmission through the skull.  Alternatively, some other studies have shown that longitudinal-to-shear wave mode  conversion might improve transmission through the skull when the incidence angle  is increased above the critical angle (i.e., 25° to 30°). PURPOSE: The effect of  skull porosity on the transmission of ultrasound through the skull at varying  incidence angles was investigated for the first time to elucidate why  transmission through the skull at large angles of incidence is decreased in some  cases but improved in other cases. METHODS: Transcranial ultrasound transmission  at varying incidence angles (0°-50°) was investigated in phantoms and ex vivo  skull samples with varying bone porosity (0% to 28.54% ± 3.36%) using both  numerical and experimental methods. First, the elastic acoustic wave transmission  through the skull was simulated using micro-computed tomography data of ex vivo  skull samples. The trans-skull pressure was compared between skull segments  having three levels of porosity, that is, low porosity (2.65% ± 0.03%), medium  porosity (13.41% ± 0.12%), and high porosity (26.9%). Next, transmission through  two 3D-printed resin skull phantoms (compact vs. porous phantoms) was  experimentally measured to test the effect of porous microstructure alone on  ultrasound transmission through flat plates. Finally, the effect of skull  porosity on ultrasound transmission was investigated experimentally by comparing  transmission through two ex vivo human skull segments having similar thicknesses  but different porosities (13.78% ± 2.05% vs. 28.54% ± 3.36%). RESULTS: Numerical  simulations indicated that an increase in transmission pressure occurs at large  incidence angles for skull segments having low porosities but not for those with  high porosity. In experimental studies, a similar phenomenon was observed.  Specifically, for the low porosity skull sample (13.78% ± 2.05%), the normalized  pressure was 0.25 when the incidence angle increased to 35°. However, for the  high porosity sample (28.54% ± 3.36%), the pressure was no more than 0.1 at large  incidence angles. CONCLUSIONS: These results indicate that the skull porosity has  an evident effect on the transmission of ultrasound at large incidence angles.  The wave mode conversion at large, oblique incidence angles could enhance the  transmission of ultrasound through parts of the skull having lower porosity in  the trabecular layer. However, for transcranial ultrasound therapy in the  presence of highly porous trabecular bone, transmission at a normal incidence  angle is preferable relative to oblique incidence angles due to the higher  transmission efficiency.","2023-05","2024-03-06 16:57:30","2024-03-06T16:57:30Z","","3092-3102","","5","50","","Med Phys","","","","","","","","eng","© 2023 American Association of Physicists in Medicine.","","","","","","Place: United States PMID: 36810723","","","","*Skull/diagnostic imaging; Humans; Incidence; Porosity; Ultrasonography; X-Ray Microtomography; incidence angle; mode conversion; porosity; shear wave; transcranial ultrasound","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FN6UD5SD","journalArticle","2023","Williams, Randall P.; Karzova, Maria M.; Yuldashev, Petr V.; Kaloev, Azamat Z.; Nartov, Fedor A.; Khokhlova, Vera A.; Cunitz, Bryan W.; Morrison, Kyle P.; Khokhlova, Tatiana D.","Dual-Mode 1-D Linear Ultrasound Array for Image-Guided Drug Delivery Enhancement Without Ultrasound Contrast Agents.","IEEE transactions on ultrasonics, ferroelectrics, and frequency control","","1525-8955 0885-3010","10.1109/TUFFC.2023.3268603","","Pulsed high-intensity focused ultrasound (pHIFU) uses nonlinearly distorted millisecond-long ultrasound pulses of moderate intensity to induce inertial  cavitation in tissue without administration of contrast agents. The resulting  mechanical disruption permeabilizes the tissue and enhances the diffusion of  systemically administered drugs. This is especially beneficial for tissues with  poor perfusion such as pancreatic tumors. Here, we characterize the performance  of a dual-mode ultrasound array designed for image-guided pHIFU therapies in  producing inertial cavitation and ultrasound imaging. The 64-element linear array  (1.071 MHz, an aperture of 14.8×51.2 mm, and a pitch of 0.8 mm) with an  elevational focal length of 50 mm was driven by the Verasonics V-1 ultrasound  system with extended burst option. The attainable focal pressures and electronic  steering range in linear and nonlinear operating regimes (relevant to pHIFU  treatments) were characterized through hydrophone measurements, acoustic  holography, and numerical simulations. The steering range at ±10% from the  nominal focal pressure was found to be ±6 mm axially and ±11 mm azimuthally.  Focal waveforms with shock fronts of up to 45 MPa and peak negative pressures up  to 9 MPa were achieved at focusing distances of 38-75 mm from the array.  Cavitation behaviors induced by isolated 1-ms pHIFU pulses in optically  transparent agarose gel phantoms were observed by high-speed photography across a  range of excitation amplitudes and focal distances. For all focusing  configurations, the appearance of sparse, stationary cavitation bubbles occurred  at the same P(-) threshold of 2 MPa. As the output level increased, a qualitative  change in cavitation behavior occurred, to pairs and sets of proliferating  bubbles. The pressure P(-) at which this transition was observed corresponded to  substantial nonlinear distortion and shock formation in the focal region and was  thus dependent on the focal distance of the beam ranging within 3-4 MPa for  azimuthal F -numbers of 0.74-1.5. The array was capable of B-mode imaging at 1.5  MHz of centimeter-sized targets in phantoms and in vivo pig tissues at depths of  3-7 cm, relevant to pHIFU applications in abdominal targets.","2023-07","2024-03-06 16:57:30","2024-03-06T16:57:30Z","","693-707","","7","70","","IEEE Trans Ultrason Ferroelectr Freq Control","","","","","","","","eng","","","","","","","Place: United States PMID: 37074881  PMCID: PMC10712801","","","","*High-Intensity Focused Ultrasound Ablation/methods; *Pancreatic Neoplasms; Animals; Contrast Media; Microbubbles; Phantoms, Imaging; Swine; Ultrasonography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAN63NJR","journalArticle","2023","Leonardo-Pinto, João Paulo; Maghsoudlou, Parmida; Salazar, Gloria M.; Clark, Nisse V.; Koch, Regina Maria; Ajao, Mobolaji O.; Einarsson, Jon Ivar; Rassier, Sarah L. Cohen","Diagnosis of gynecologic malignancy after the treatment of presumed benign fibroid disease with interventional radiology procedures: a retrospective cohort  study.","Fertility and sterility","","1556-5653 0015-0282","10.1016/j.fertnstert.2023.02.038","","OBJECTIVE: To ascertain the finding of future diagnosis of malignancy in women who undergo nonsurgical treatment for uterine fibroid disease with interventional  radiology (IR) procedures. DESIGN: Mixed-methods retrospective cohort study.  SETTING: Two tertiary care academic hospitals in Boston, Massachusetts.  PATIENT(S): A total of 491 women who underwent radiologic intervention for  fibroids between 2006 and 2016. INTERVENTION(S): Uterine artery embolization or  high-intensity focused ultrasound ablation. MAIN OUTCOME MEASURE(S): Subsequent  surgical interventions and diagnosis of gynecologic malignancy after the IR  procedure. RESULT(S): During the study period, 491 women underwent treatment of  fibroids with IR procedures; follow-up information was available for 346 cases.  The mean age was 45.3 ± 4.8 years, and 69.7% were between the ages of 40 and 49  years. Regarding ethnicity, 58.9% of patients were white, and 26.1% were black.  The most common symptoms were abnormal uterine bleeding (87%), pelvic pressure  (62.3%), and pelvic pain (60.9%). A total of 106 patients underwent subsequent  surgical treatment of fibroids. Of the 346 patients who had follow-up, 4 (1.2%)  were diagnosed with leiomyosarcoma after their interventional treatment for  fibroids. An additional 2 cases of endometrial adenocarcinoma and 1 case of a  premalignant lesion of the endometrium were noted. CONCLUSION(S): The proportion  of patients who went on to be diagnosed with leiomyosarcoma after conservative IR  treatments appears to be higher than previously reported. A thorough  preprocedural workup and patient counseling regarding the possibility of  underlying uterine malignancy should be undertaken.","2023-07","2024-03-06 16:57:30","2024-03-06T16:57:30Z","","125-133","","1","120","","Fertil Steril","","","","","","","","eng","Copyright © 2023 American Society for Reproductive Medicine. Published by Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 36871858","","","","*Genital Neoplasms, Female; *Leiomyoma/diagnostic imaging/therapy; *Leiomyosarcoma; *Uterine Neoplasms/diagnostic imaging/surgery; Adult; Female; Humans; Leiomyoma; Middle Aged; Radiology, Interventional; Retrospective Studies; Treatment Outcome; interventional radiology; leiomyosarcoma; occult uterine malignancy; uterine fibroid embolization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVYNQVXK","journalArticle","2023","Maxwell, Adam D.; Kim, Ga Won; Furrow, Eva; Lulich, Jody P.; Torre, Marissa; MacConaghy, Brian; Lynch, Elizabeth; Leotta, Daniel F.; Wang, Yak-Nam; Borofsky, Michael S.; Bailey, Michael R.","Development of a burst wave lithotripsy system for noninvasive fragmentation of ureteroliths in pet cats.","BMC veterinary research","","1746-6148","10.1186/s12917-023-03705-1","","BACKGROUND: Upper urinary tract stones are increasingly prevalent in pet cats and are difficult to manage. Surgical procedures to address obstructing ureteroliths  have short- and long-term complications, and medical therapies (e.g., fluid  diuresis and smooth muscle relaxants) are infrequently effective. Burst wave  lithotripsy is a non-invasive, ultrasound-guided, handheld focused ultrasound  technology to disintegrate urinary stones, which is now undergoing human clinical  trials in awake unanesthetized subjects. RESULTS: In this study, we designed and  performed in vitro testing of a modified burst wave lithotripsy system to  noninvasively fragment stones in cats. The design accounted for differences in  anatomic scale, acoustic window, skin-to-stone depth, and stone size. Prototypes  were fabricated and tested in a benchtop model using 35 natural calcium oxalate  monohydrate stones from cats. In an initial experiment, burst wave lithotripsy  was performed using peak ultrasound pressures of 7.3 (n = 10), 8.0 (n = 5), or  8.9 MPa (n = 10) for up to 30 min. Fourteen of 25 stones fragmented to < 1 mm  within the 30 min. In a second experiment, burst wave lithotripsy was performed  using a second transducer and peak ultrasound pressure of 8.0 MPa (n = 10) for up  to 50 min. In the second experiment, 9 of 10 stones fragmented to < 1 mm within  the 50 min. Across both experiments, an average of 73-97% of stone mass could be  reduced to fragments < 1 mm. A third experiment found negligible injury with in  vivo exposure of kidneys and ureters in a porcine animal model. CONCLUSIONS:  These data support further evaluation of burst wave lithotripsy as a noninvasive  intervention for obstructing ureteroliths in cats.","2023-09-02","2024-03-06 16:57:30","2024-03-06T16:57:30Z","","141","","1","19","","BMC Vet Res","","","","","","","","eng","© 2023. BioMed Central Ltd., part of Springer Nature.","","","","","","Place: England PMID: 37660015  PMCID: PMC10474658","","","","*Cat Diseases/diagnostic imaging/therapy; *Lithotripsy/veterinary; *Swine Diseases; *Urolithiasis/veterinary; Animals; Calcium Oxalate; Cats; Humans; Kidney; Models, Animal; Swine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRMELVL9","journalArticle","2023","Du, Jia-Rui; Teng, Deng-Ke; Wang, Yang; Wang, Qimeihui; Lin, Yuan-Qiang; Luo, Qiang; Xue, Jia-Nan; Zhu, Ling-Yu; Dong, Peng; Zhang, Gen-Mao; Liu, Yan; Sun, Zhi-Xia; Wang, Hui; Sui, Guo-Qing","Endogenous H(2)O(2) Self-Replenishment and Sustainable Cascades Enhance the Efficacy of Sonodynamic Therapy.","International journal of nanomedicine","","1178-2013 1176-9114","10.2147/IJN.S431221","","PURPOSE: Sonodynamic therapy (SDT), with its high tissue penetration and noninvasive advantages, represents an emerging approach to eradicating solid  tumors. However, the outcomes of SDT are typically hampered by the low oxygen  content and immunosuppression in the tumor microenvironment (TME). Accordingly,  we constructed a cascade nanoplatform to regulate the TME and improve the  anti-tumor efficiency of SDT. METHODS: In this study, we rationally design  cascade nanoplatform by incorporating immunostimulant hyaluronic acid (HA) and  sonosensitizer chlorin e6 (Ce6) on the polydopamine nanocarrier that is pre-doped  with platinum nanozymes (designated Ce6/Pt@PDA-HA, PPCH). RESULTS: The cascade  reactions of PPCH are evidenced by the results that HA exhibits reversing  immunosuppressive that converts M2 macrophages into M1 macrophages in situ, while  producing H(2)O(2), and then platinum nanozymes further catalyze the H(2)O(2) to  produce O(2), and O(2) produces abundant singlet oxygen ((1)O(2)) under the  action of Ce6 and low-intensity focused ultrasound (LIFU), resulting in a domino  effect and further amplifying the efficacy of SDT. Due to its pH responsiveness  and mitochondrial targeting, PPCH effectively accumulates in tumor cells. Under  LIFU irradiation, PPCH effectively reverses immunosuppression, alleviates hypoxia  in the TME, enhances reactive oxygen species (ROS) generation, and enhances SDT  efficacy for eliminating tumor cells in vivo and in vitro. Meanwhile, an in vivo  dual-modal imaging including fluorescence and photoacoustic imaging achieves  precise tumor diagnosis. CONCLUSION: This cascade nanoplatform will provide a  promising strategy for enhancing SDT eradication against tumors by modulating  immunosuppression and relieving hypoxia.","2023","2024-03-06 16:57:30","2024-03-06T16:57:30Z","","6667-6687","","","18","","Int J Nanomedicine","","","","","","","","eng","© 2023 Du et al.","","","","","","Place: New Zealand PMID: 38026520  PMCID: PMC10656771","","","","*Nanoparticles/chemistry; *Porphyrins/pharmacology/chemistry; *Ultrasonic Therapy/methods; Cell Line, Tumor; Humans; Hydrogen Peroxide; Hypoxia; Platinum; Reactive Oxygen Species; Tumor Microenvironment; cascade reactions; sonodynamic therapy; tumor hypoxia; tumor microenvironment; tumor-associated macrophages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GU9ZQGE","journalArticle","2023","Shome, Debraj; van der Hulst, Rene R. W. J.; Kumar, Vaibhav; Booi, Darren I.; Mhatre, Pranjal D.","Evolution and Trends of Facial Plastic Surgery and Facial Aesthetic Procedures in India: From Awakening to Revival.","Aesthetic surgery journal. Open forum","","2631-4797","10.1093/asjof/ojad022","","Facial aesthetic surgery is an emerging branch worldwide. India, a torchbearer country in facial plastic surgery, has seen tremendous growth in medical  technology, resources, and clientele over the past century. This study aims to  study past practices and current trends in facial plastic surgery and aesthetic  procedures in India by individually addressing commonly performed nonsurgical  procedures (Botox, Kybella [Allergan, Irvine, CA], fillers, threads,  micro-focused ultrasound, and nonsurgical hair restoration), and surgical  procedures (rhinoplasty, blepharoplasty, hair transplant, and facelift). It also  aims to further elaborate on the scope of facial aesthetics and make  recommendations on prospects in the field. A structured scoping review and a  subsequent evidence-based synthesis were done following an extensive literature  search on various databases such as PubMed (National Institutes of Health,  Bethesda, MD), LILACS (Latin American and Caribbean Center on Health Sciences  Information, São Paulo, Brazil), MEDLINE (National Library of Medicine, Bethesda,  MD), EMBASE (Elsevier, Amsterdam, the Netherlands), and Cochrane (Wiley, Hoboken,  NJ). The initial search yielded 703 articles, out of which 20 were found to be  relevant to the present study and discussed. It was found that there is an upward  trend in the growth of facial plastic surgery in India, and a gradual shift in  patient attitude toward nonsurgical aesthetic procedures was seen. This article  affirms the growth of facial aesthetic surgery in India by highlighting the  recent development and trends in the practices of surgeons. It also addresses the  shortcomings in the current administration and makes recommendations to fill the  existing loopholes in plastic surgery.","2023","2024-03-06 16:57:30","2024-03-06T16:57:30Z","","ojad022","","","5","","Aesthet Surg J Open Forum","","","","","","","","eng","© The Author(s) 2023. Published by Oxford University Press on behalf of The Aesthetic Society.","","","","","","Place: England PMID: 37051419  PMCID: PMC10084094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VSRAJ9C","journalArticle","2023","Nilforoushzadeh, Mohammad Ali; Heidari-Kharaji, Maryam; Fakhim, Tannaz; Behrangi, Elham; Shahverdi, Mohammadhasan; Rafiee, Shohreh; Nobari, Niloufar Najar","Efficacy of Endolift laser for arm and under abdomen fat reduction.","Journal of cosmetic dermatology","","1473-2165 1473-2130","10.1111/jocd.15684","","BACKGROUND: Noninvasive laser for body fat contouring is a quickly growing field in the cosmetic dermatology. Surgical options carry disadvantages, such as the  usage of anesthetics, swelling, pain and long time for recovery, so there is a  growing public request for the techniques with fewer side effects and shorter  recovery periods. Several new noninvasive body contouring ways have been advanced  such as, cryolipolysis radiofrequency energy, suction-massage, high-frequency  focused ultrasound, and laser therapy. Noninvasive laser improves the body's  appearance by the elimination of excess adipose tissue, specifically in areas in  which fat perseveres in spite of diet and exercise. METHODS: In this study the  efficacy of Endolift laser was evaluated for reduction of excess fat in the arms  and under abdomen. Ten patients with excess fat in the arms and under abdomen  were enrolled in this study. The patients were treated by Endolift laser in the  arms and under abdomen areas. The outcomes were evaluated by two blinded board  certified dermatologists and by patients' satisfaction. The circumference of each  arm and under abdomen was measured using a flexible tape measure. RESULTS: The  results showed reduction in the fat and circumference of arms and under abdomen  after treatment. The treatment was considered as effective methods with high  patient satisfaction. Also no severe adverse effects were reported. CONCLUSION:  Endolift laser can be a good alternative to surgical body fat contouring due to  its efficacy, safety, minimal recovery time, low cost. Also Endolift laser does  not require general anesthetics.","2023-07","2024-03-06 16:57:30","2024-03-06T16:57:30Z","","2018-2022","","7","22","","J Cosmet Dermatol","","","","","","","","eng","© 2023 The Authors. Journal of Cosmetic Dermatology published by Wiley Periodicals LLC.","","","","","","Place: England PMID: 36795455","","","","*Body Contouring/adverse effects/methods; *Lipectomy/adverse effects/methods; Abdomen/surgery; Adipose Tissue; Arm; Humans; Lasers; Treatment Outcome; abdomen; arms; body contouring; endolift laser; fat reduction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
